ggoodsnum,ggoodsname,ggoodsprice,ggoodsaction,ggoodsadd,ggoodsperiod,gymnum
1,일일권,50000,1,,1,1
2,일일권,100000,1,,1,2
3,일일권,50000,1,,1,3
4,일일권,50000,1,,1,4
5,일일권,100000,1,,1,5
6,일일권,60000,1,,1,6
7,일일권,90000,1,,1,7
8,일일권,50000,1,,1,8
9,일일권,20000,1,,1,9
10,일일권,30000,1,,1,10
11,일일권,40000,1,,1,11
12,일일권,70000,1,,1,12
13,일일권,100000,1,,1,13
14,일일권,50000,1,,1,14
15,일일권,50000,1,,1,15
16,일일권,60000,1,,1,16
17,일일권,47000,1,,1,17
18,일일권,35000,1,,1,18
19,일일권,100000,1,,1,19
20,일일권,45000,1,,1,20
21,회원권,314040,1,,12,1
22,회원권,924000,1,,12,2
23,회원권,396000,1,,12,3
24,회원권,540000,1,"PT를 등록하시는 분들께 회원권 1개월, 또는 3개월권을 50% 할인해드립니다! 오짐에서 결제하신 후 방문 등록 시 자세한 PT 안내와 결제를 도와드립니다 :-) ",12,4
25,회원권,660000,1,?헬스이용권 - 3개월 선착순 10명 - 6개월 선착순 10명,12,5
26,회원권,660000,1,,12,6
27,회원권,756000,1,1개월 10회 3개월 30회 6개월 50회 기준 12개월 100회 기준 내방시 자세한 안내 및 이벤트 안내드립니다.,12,7
28,회원권,420000,1,,12,8
29,회원권,409920,1,?헬스 회원권 - 1개월 선착순 20명 - 3개월 선착순 20명 - 6개월 선착순 20명 - 12개월 선착순 20명,12,9
30,회원권,472920,1,,12,10
31,회원권,439200,1,,12,11
32,회원권,528000,1,,12,12
33,회원권,480000,1,[기간 선택에 따른 횟수 안내] 1개월 8회 3개월 24회 6개월 48회 12개월 96회,12,13
34,회원권,373920,1,,12,14
35,회원권,439920,1,,12,15
36,회원권,489000,1,?헬스이용권 - 3개월 선착순 10명 - 12개월 선착순 10명,12,16
37,회원권,369000,1,?헬스 + 운동복 - 12개월 선착순 10명,12,17
38,회원권,439920,1,"- 1,3,6개월 회원권은 운동복/사물함 미포함 상품입니다. 운동복,사물함 사용시 현장에서 결제 합니다. - 12개월 회원권은 운동복+사물함 포함 상품입니다.",12,18
39,회원권,2316000,1,※ 3개월 이상 등록시 체성분측정 관리 서비스를 받을 수 있습니다.,12,19
40,회원권,150000,1,?그룹 5:1 PILATE - 6개월 선착순 10명 - 12개월 선착순 10명,12,20
41,회원권,206100,1,,6,1
42,회원권,462000,1,,6,2
43,회원권,231000,1,,6,3
44,회원권,390000,1,,6,4
45,회원권,297000,1,,6,5
46,회원권,396000,1,,6,6
47,회원권,378000,1,,6,7
48,회원권,289980,1,,6,8
49,회원권,289980,1,,6,9
50,회원권,264000,1,,6,10
51,회원권,330000,1,,6,11
52,회원권,323400,1,,6,12
53,회원권,240000,1,,6,13
54,회원권,285960,1,,6,14
55,회원권,297000,1,,6,15
56,회원권,300000,1,,6,16
57,회원권,297000,1,,6,17
58,회원권,219960,1,,6,18
59,회원권,879000,1,,6,19
60,회원권,69960,1,,6,20
61,회원권,134100,1,,3,1
62,회원권,231000,1,,3,2
63,회원권,132000,1,,3,3
64,회원권,105000,1,,3,4
65,회원권,180000,1,,3,5
66,회원권,231000,1,,3,6
67,회원권,220500,1,,3,7
68,회원권,180000,1,,3,8
69,회원권,180000,1,,3,9
70,회원권,175980,1,,3,10
71,회원권,219990,1,,3,11
72,회원권,178200,1,,3,12
73,회원권,135000,1,,3,13
74,회원권,231000,1,,3,14
75,회원권,165000,1,,3,15
76,회원권,150000,1,,3,16
77,회원권,186990,1,,3,17
78,회원권,120990,1,,3,18
79,회원권,579000,1,,3,19
80,회원권,37500,1,,3,20
81,회원권,88000,1,,1,1
82,회원권,88000,1,,1,2
83,회원권,88000,1,,1,3
84,회원권,60000,1,,1,4
85,회원권,104500,1,,1,5
86,회원권,16660,1,,1,6
87,회원권,84000,1,,1,7
88,회원권,100000,1,,1,8
89,회원권,120000,1,,1,9
90,회원권,100000,1,,1,10
91,회원권,150000,1,,1,11
92,회원권,64900,1,,1,12
93,회원권,60000,1,,1,13
94,회원권,110000,1,,1,14
95,회원권,77000,1,,1,15
96,회원권,110000,1,,1,16
97,회원권,110000,1,,1,17
98,회원권,55000,1,,1,18
99,회원권,250000,1,,1,19
100,회원권,37500,1,,1,20
